Node1,Sign,Node2,Weight
AAK1,1,AP2M1,7
ABI1,1,CBL,18
ABL1,-1,PRKDC,18
ABL1,1,ABI1,14
ABL1,1,APBB1,20
ABL1,1,CBL,11
ABL1,1,CEBPB,20
ABL1,1,DDX5,20
ABL1,1,ERCC6,2
ABL1,1,JUN,20
ABL1,1,MAP2K6,18
ABL1,1,MTOR,1
ABL1,1,NCK1,14
ABL1,1,PRKCD,14
ABL1,1,PXN,2
ABL1,1,STAT1,20
ABL1,1,STAT3,20
ABL1,1,STAT5A,20
ABL1,1,STAT5B,20
ABL1,1,STK3,14
ABL1,1,STK4,24
ABRAXAS1,1,BRCA1,4
ADAM17,1,ITGB1,6
ADAM17,1,NOTCH1,6
ADAM9,1,ITGAV,2
ADAM9,1,ITGB1,9
ADRB2,1,GNAQ,3
AKT1,-1,EZH2,5
AKT1,-1,GSK3A,9
AKT1,-1,RAF1,4
AKT1,-1,RARA,13
AKT1,-1,RNF11,3
AKT1,-1,STK4,18
AKT1,1,CHUK,13
AKT1,1,CREB1,5
AKT1,1,EP300,5
AKT1,1,RPS6KB1,5
AKT3,-1,STK3,6
AKT3,-1,STK4,3
AKT3,1,CREB1,9
APBB1,1,TSHZ3,46
APEX1,1,ARNT,1
APEX1,1,EGR1,10
APEX1,1,STAT3,10
ARHGEF2,1,RAC1,3
ARHGEF6,-1,ARHGEF12,2
ARNT,1,HIF1A,2
ARRB1,-1,ADRB2,4
ATF2,1,ATF3,100
ATG13,1,RB1CC1,1
ATG3,1,GABARAP,22
ATG3,1,MAP1LC3B,5
ATM,-1,DAXX,16
ATM,-1,MDM2,1
ATM,-1,PPP1R2,25
ATM,-1,TRIM28,20
ATM,1,ABL1,20
ATM,1,ABRAXAS1,68
ATM,1,AKT1,5
ATM,1,BRCA1,4
ATM,1,CCAR2,15
ATM,1,EP300,39
ATM,1,HIF1A,100
ATM,1,PPP2R5C,33
ATM,1,PRKDC,72
ATM,1,SMAD1,27
ATM,1,SMC3,100
ATM,1,SP1,100
ATM,1,STK11,29
ATM,1,TAOK3,7
ATM,1,TRAF6,53
ATM,1,USP28,33
AXIN1,1,MAP3K4,5
BAG3,1,HSPA8,8
BCL3,1,HDAC1,5
BCL3,1,NFKB1,5
BCL3,1,NFKB2,72
BHLHE41,1,RBPJ,5
BIRC3,-1,CASP3,15
BIRC3,1,RIPK1,6
BNIP3,-1,RHEB,6
BRCA1,-1,ABL1,4
BRCA1,1,NFE2L2,4
CALM1,-1,GRK2,5
CALM1,1,CAMKK2,19
CALM1,1,IQGAP1,15
CALM1,1,PPP3CB,6
CALM1,1,PPP3CC,37
CALM1,1,RAC1,33
CALM2,-1,GRK2,1
CALM2,-1,NRAS,1
