Node,NodeType,ZeroAct,UpAct,DownAct,AvgAct
AAK1,,37,63,0,63
ABI1,,100,0,0,0
ABL1,,58,27,15,12
ABL2,,100,0,0,0
ABRAXAS1,,100,0,0,0
ACAT1,,22,78,0,78
ACTB,,94,6,0,6
ACTN1,,44,56,0,56
ACVR1,,53,47,0,47
ADAM10,,100,0,0,0
ADAM17,,50,50,0,50
ADAM9,,97,3,0,3
ADRB2,P,43,38,19,19
AFAP1L2,,100,0,0,0
AHSA1,,89,11,0,11
AIMP1,,28,52,20,32
AKAP12,,100,0,0,0
AKT1,,83,17,0,17
AKT1S1,,100,0,0,0
AKT2,,15,85,0,85
AKT3,,81,16,3,13
ALDH2,,34,66,0,66
AMBRA1,,81,19,0,19
ANAPC1,,60,40,0,40
ANKRD28,,68,32,0,32
AP2M1,,35,65,0,65
APBB1,,100,0,0,0
APC,,91,9,0,9
APEX1,,74,26,0,26
ARAF,,32,68,0,68
ARF1,,94,6,0,6
ARHGAP1,,100,0,0,0
ARHGAP24,,100,0,0,0
ARHGAP31,,100,0,0,0
ARHGAP32,,100,0,0,0
ARHGDIA,,94,6,0,6
ARHGEF1,,77,21,2,19
ARHGEF11,,100,0,0,0
ARHGEF12,,72,7,21,-14
ARHGEF2,,100,0,0,0
ARHGEF6,,68,13,19,-6
ARHGEF7,,100,0,0,0
ARHGEF9,,100,0,0,0
ARNT,,87,13,0,13
ARPC2,,100,0,0,0
ARRB1,,100,0,0,0
ASXL1,,100,0,0,0
ATF1,M,0,100,0,100
ATF2,,0,0,100,-100
ATF3,M,0,0,100,-100
ATF4,M,0,100,0,100
ATG13,,87,13,0,13
ATG3,,73,0,27,-27
ATG9A,,87,13,0,13
ATM,,0,100,0,100
ATR,,100,0,0,0
AXIN1,,73,27,0,27
BAG2,,95,5,0,5
BAG3,P,95,0,5,-5
BCAR1,,100,0,0,0
BCL2L1,,100,0,0,0
BCL2L11,,100,0,0,0
BCL3,,28,66,6,60
BCL6,M,0,0,100,-100
BECN1,,100,0,0,0
BHLHE41,,100,0,0,0
BID,,100,0,0,0
BIRC2,,100,0,0,0
BIRC3,,100,0,0,0
BIRC6,,100,0,0,0
BMPR1A,,100,0,0,0
BMPR2,,75,25,0,25
BNIP3,,100,0,0,0
BNIP3L,,100,0,0,0
BRAF,,96,4,0,4
BRCA1,,59,41,0,41
BRD4,,100,0,0,0
BRMS1,,100,0,0,0
BTG2,,100,0,0,0
CABIN1,,100,0,0,0
