Node,NodeType,ZeroAct,UpAct,DownAct,AvgAct
AAK1,,81,19,0,19
ABI1,,55,45,0,45
ABL1,,100,0,0,0
ABL2,,100,0,0,0
ABRAXAS1,,100,0,0,0
ACAT1,,54,46,0,46
ACTB,,97,3,0,3
ACTN1,,96,4,0,4
ACVR1,,87,13,0,13
ADAM10,,100,0,0,0
ADAM17,,55,45,0,45
ADAM9,,80,20,0,20
ADRB2,,54,33,13,20
AFAP1L2,,100,0,0,0
AHSA1,,100,0,0,0
AIMP1,,75,25,0,25
AKAP12,,78,0,22,-22
AKT1,,100,0,0,0
AKT1S1,,49,51,0,51
AKT2,,88,0,12,-12
AKT3,,86,6,8,-2
ALDH2,,67,33,0,33
AMBRA1,,39,61,0,61
ANAPC1,,70,30,0,30
ANKRD28,,95,5,0,5
AP2M1,,58,42,0,42
APBB1,,100,0,0,0
APC,,73,27,0,27
APEX1,,79,21,0,21
ARAF,,93,7,0,7
ARF1,,94,6,0,6
ARHGAP1,,99,1,0,1
ARHGAP24,,98,2,0,2
ARHGAP31,,100,0,0,0
ARHGAP32,,100,0,0,0
ARHGDIA,,100,0,0,0
ARHGEF1,,98,2,0,2
ARHGEF11,,100,0,0,0
ARHGEF12,,88,0,12,-12
ARHGEF2,,100,0,0,0
ARHGEF6,,76,24,0,24
ARHGEF7,,100,0,0,0
ARHGEF9,,100,0,0,0
ARNT,,91,9,0,9
ARPC2,,100,0,0,0
ARRB1,,79,12,9,3
ASXL1,,100,0,0,0
ATF1,M,0,100,0,100
ATF2,,0,0,100,-100
ATF3,M,0,0,100,-100
ATF4,M,0,100,0,100
ATG13,,95,5,0,5
ATG3,,93,7,0,7
ATG9A,,91,9,0,9
ATM,,0,100,0,100
ATR,,100,0,0,0
AXIN1,,77,23,0,23
BAG2,,100,0,0,0
BAG3,,98,2,0,2
BCAR1,,100,0,0,0
BCL2L1,,100,0,0,0
BCL2L11,,100,0,0,0
BCL3,,100,0,0,0
BCL6,M,0,0,100,-100
BECN1,,87,0,13,-13
BHLHE41,,83,17,0,17
BID,,100,0,0,0
BIRC2,,94,0,6,-6
BIRC3,,92,8,0,8
BIRC6,,100,0,0,0
BMPR1A,,100,0,0,0
BMPR2,,87,13,0,13
BNIP3,,89,11,0,11
BNIP3L,,100,0,0,0
BRAF,,87,0,13,-13
BRCA1,,100,0,0,0
BRD4,,100,0,0,0
BRMS1,,100,0,0,0
BTG2,,100,0,0,0
CABIN1,,100,0,0,0
CALM1,,100,0,0,0
CALM2,,99,1,0,1
CALM3,,89,11,0,11
CAMKK2,,88,12,0,12
CAPN1,,100,0,0,0
CAPN2,,64,0,36,-36
CARM1,,100,0,0,0
CASP2,,96,0,4,-4
CASP3,,85,15,0,15
CASP6,,77,23,0,23
CASP7,,100,0,0,0
