Node1,Sign,Node2,Weight
AAK1,1,AP2M1,19
ABI1,1,CBL,7
ADAM17,1,ITGA5,14
ADAM17,1,NOTCH1,23
ADAM9,1,ITGA6,20
ADAM9,1,ITGAV,20
ADRB2,1,GNAS,11
ADRB2,1,GNB2,1
AKAP12,1,PRKCA,22
AKT2,-1,AKT1S1,8
AKT2,-1,GSK3B,1
AKT2,1,CHUK,12
AKT2,1,MDM2,12
AKT3,-1,AKT1S1,8
AKT3,-1,STK3,6
AKT3,-1,STK4,1
AKT3,1,CHUK,2
AKT3,1,CREB1,6
ALDH2,1,HDAC3,7
APEX1,1,ARNT,2
APEX1,1,EGR1,21
APEX1,1,STAT3,21
ARAF,1,MAPK3,7
ARHGEF1,1,ARHGAP1,1
ARHGEF12,1,RHOA,11
ARHGEF6,-1,ARHGEF12,12
ARHGEF6,1,GIT1,9
ARHGEF6,1,PAK1,21
ARHGEF6,1,RAC1,13
ARNT,1,HIF1A,9
ARRB1,-1,ADRB2,10
ARRB1,1,DVL2,8
ATF2,1,ATF3,100
ATG3,1,GABARAP,7
ATG9A,1,YWHAE,4
ATM,-1,MDM2,25
ATM,-1,PPP1R2,7
ATM,1,FBXW7,11
ATM,1,HIF1A,100
ATM,1,KHSRP,11
ATM,1,PPP2R5C,4
ATM,1,PRKDC,64
ATM,1,RASSF1,1
ATM,1,SMC3,100
ATM,1,SP1,100
ATM,1,STK11,4
ATM,1,TAOK3,8
ATM,1,USP28,27
AXIN1,-1,SMAD7,6
AXIN1,1,APC,11
AXIN1,1,CTNNB1,3
AXIN1,1,GSK3A,6
AXIN1,1,MAP3K1,4
AXIN1,1,RNF111,23
BAG3,1,HSPA8,2
BECN1,1,PIK3R4,13
BHLHE41,1,RBPJ,17
BIRC3,-1,MAP3K14,8
BNIP3,-1,RHEB,11
CALM2,-1,NRAS,1
CALM2,1,IQGAP1,1
CALM2,1,PPP3CB,1
CALM2,1,RAC1,1
CAMKK2,1,PRKAA1,12
CAPN2,1,GSK3A,17
CASP2,1,RIPK1,4
CASP3,-1,PXN,5
CASP3,1,CASP6,10
CASP3,1,PRKDC,6
CASP3,1,PSEN1,15
CASP6,1,PSEN1,23
CASP8,-1,MAP3K14,14
CASP8,1,PSEN1,14
CBL,-1,CFLAR,7
CCAR2,-1,SIRT1,11
CCL2,1,MMP14,20
CD2AP,1,ACTB,3
CEBPB,1,CREB1,100
CEBPB,1,STAT3,100
CFLAR,-1,ATG3,7
CHUK,-1,NCOR2,10
CHUK,-1,NFKB1,54
CHUK,1,NFKB2,54
CLASP2,1,IQGAP1,3
CREB1,1,CD2AP,17
CREB1,1,CTNNB1,32
CRK,1,DOCK1,2
CSK,-1,ITCH,55
CSK,1,NOTCH1,32
CSK,1,PXN,4
CSNK1A1,-1,CTNNB1,4
CSNK1A1,-1,YWHAQ,37
CSNK1A1,1,APC,4
CSNK1A1,1,AXIN1,5
CSNK1A1,1,CREB1,14
CSNK1A1,1,GSK3B,1
