Node1,Sign,Node2,Weight
AAK1,1,AP2M1,21
ABI1,1,CBL,16
ABL1,-1,CRK,2
ABL1,-1,PRKDC,35
ABL1,1,ABI1,14
ABL1,1,AHSA1,8
ABL1,1,APBB1,10
ABL1,1,CBL,9
ABL1,1,CEBPB,30
ABL1,1,CRKL,6
ABL1,1,CTNND1,27
ABL1,1,CTTN,8
ABL1,1,DDX5,7
ABL1,1,ERCC6,18
ABL1,1,HSPA1A,38
ABL1,1,JUN,30
ABL1,1,MAP2K6,62
ABL1,1,MAP3K1,13
ABL1,1,MTOR,18
ABL1,1,PRKCD,17
ABL1,1,PRKD1,4
ABL1,1,PXN,53
ABL1,1,RACK1,3
ABL1,1,RAPGEF1,7
ABL1,1,STAT1,30
ABL1,1,STAT3,30
ABL1,1,STAT5A,30
ABL1,1,STAT5B,30
ABL1,1,STK3,53
ABL1,1,STK4,32
ABL1,1,YAP1,5
ABRAXAS1,1,BRCA1,11
ADRB2,1,GNAS,8
AIMP1,1,SMURF2,14
AKT2,-1,GSK3A,6
AKT2,-1,MAP3K5,2
AKT2,1,CREB1,8
AKT2,1,EP300,2
AKT3,-1,AKT1S1,23
AKT3,-1,STK4,3
AKT3,1,CHUK,5
ALDH2,1,HDAC3,4
APEX1,1,ARNT,21
APEX1,1,EGR1,30
APEX1,1,STAT3,30
ARAF,1,MAP2K2,3
ARAF,1,MAPK3,18
ARHGEF12,1,RHOA,4
ARHGEF6,-1,ARHGEF12,4
ARHGEF6,1,RAC1,5
ARNT,1,HIF1A,35
ATF2,1,ATF3,100
ATG13,1,RB1CC1,5
ATG3,1,GABARAP,2
ATG3,1,MAP1LC3B,4
ATM,-1,DAXX,26
ATM,-1,MDM2,23
ATM,-1,PPP1R2,26
ATM,-1,SIAH1,27
ATM,-1,TRIM28,4
ATM,1,ABL1,30
ATM,1,ABRAXAS1,68
ATM,1,BID,1
ATM,1,BRCA1,35
ATM,1,EP300,31
ATM,1,FBXW7,10
ATM,1,HIF1A,100
ATM,1,PPP2R5C,4
ATM,1,PRKDC,73
ATM,1,RASSF1,3
ATM,1,SMC3,100
ATM,1,SP1,100
ATM,1,STK11,13
ATM,1,TAOK3,3
ATM,1,TRAF6,35
ATM,1,USP28,19
BAG3,1,HSPA8,79
BCL2L1,-1,BECN1,2
BCL3,1,HDAC1,2
BCL3,1,HDAC3,3
BCL3,1,NFKB1,2
BCL3,1,NFKB2,16
BECN1,1,PIK3R4,2
BIRC2,-1,CASP3,2
BIRC2,-1,MAP3K14,40
BIRC3,-1,MAP3K14,30
BIRC3,1,BIRC2,2
BIRC3,1,RIPK1,2
BMPR2,1,ACVR1,14
BRCA1,-1,ABL1,35
BRCA1,1,NFE2L2,35
CALM3,1,PPP3CC,23
CALM3,1,PPP3R1,23
CAMKK2,1,PRKAA1,11
CAPN1,-1,PTK2,11
CASP2,1,RIPK1,8
CASP3,-1,EIF2A,2
CASP3,-1,IKBKB,2
CASP3,-1,KDM4C,2
CASP3,-1,PPP2R5C,2
CASP3,-1,PTK2,2
CASP3,-1,RELA,2
CASP3,1,CASP6,2
CASP3,1,PRKDC,2
CASP3,1,ROCK1,2
CASP3,1,STK3,2
CASP3,1,STK4,1
CASP6,-1,LMNA,2
CBL,-1,CFLAR,22
CBL,-1,ITGA5,7
CEBPB,1,CREB1,100
CEBPB,1,STAT3,100
CFLAR,-1,ATG3,7
CHUK,-1,NFKB1,63
CHUK,1,NFKB2,63
CHUK,1,RELA,3
CREB1,1,CD2AP,39
CRK,1,CBL,2
CRKL,1,PXN,2
CRKL,1,RAPGEF1,6
CSK,-1,ITCH,38
CSK,1,PTK2,33
CSNK1A1,-1,IFNAR1,8
CUL1,1,RNF7,15
DAB2,1,DAB2IP,2
DAB2IP,-1,HRAS,2
DAB2IP,-1,NRAS,12
DAB2IP,-1,STAT3,12
DAB2IP,1,GSK3B,1
DAB2IP,1,MAP3K5,11
DAXX,1,MAP3K5,26
DDIT3,1,JUND,1
DDX5,1,HDAC1,9
DNAJB1,-1,HSF1,11
DUSP3,-1,MAPK9,25
DUSP3,1,MAPK14,29
DVL1,1,RHOA,23
DYNLL1,-1,AMBRA1,3
EGR1,1,PTEN,27
EIF2A,1,ATF4,96
EIF2AK2,1,STAT1,8
EIF2AK3,-1,EIF2A,23
EIF2AK4,-1,EIF2A,73
ELAVL1,1,SIRT1,6
EP300,-1,BCL6,31
EP300,1,APEX1,6
EP300,1,ARNT,2
EP300,1,DDX5,27
EP300,1,FLI1,31
EP300,1,HIF1A,31
EP300,1,MEF2A,31
EP300,1,RB1,3
EP300,1,RELA,31
EP300,1,SMAD4,31
EP300,1,SMAD7,6
EP300,1,STAT3,31
EP300,1,STAT5A,31
ERCC6,-1,APEX1,14
ETS1,1,STAT1,100
FBXW7,-1,DAB2IP,10
FBXW7,-1,JUN,4
FBXW7,-1,NOTCH4,4
FGFR1,-1,FRS2,2
FGFR1,1,ACAT1,6
FGFR1,1,PDK1,30
FHL1,-1,RBPJ,1
FKBP4,-1,PPP3CA,2
FRS2,1,GRB2,11
FYCO1,1,MAP1LC3A,16
GABARAP,1,GPHN,28
GAPDH,1,APEX1,10
GNA13,1,ARHGEF1,3
GPHN,1,ARHGEF9,30
GRB2,1,SOS2,11
GSK3A,-1,ANKRD28,20
GSK3A,-1,BCL3,8
GSK3A,-1,CAMKK2,13
GSK3A,-1,JUN,34
GSK3A,-1,NBR1,19
GSK3A,-1,NFATC1,34
GSK3A,1,ANAPC1,17
GSK3A,1,CREB1,20
GSK3A,1,LRP6,25
GSK3A,1,MITF,20
GSK3A,1,RELA,20
GSK3B,-1,CAMKK2,3
GSK3B,-1,CREB1,27
GSK3B,-1,GPHN,2
GSK3B,-1,HSF1,27
GSK3B,-1,JUN,27
GSK3B,-1,NFE2L2,27
GSK3B,-1,PTEN,27
GSK3B,1,LRP6,4
GSK3B,1,MDM2,23
GSK3B,1,NOTCH1,1
GSK3B,1,PPP1R2,4
GSK3B,1,PRKCE,1
GTF2A2,1,TBP,100
HDAC1,-1,YY1,10
HDAC1,1,FLI1,73
HDAC3,-1,NFE2L2,4
HDAC3,-1,RELA,4
HDAC3,1,SMAD7,4
HDAC6,-1,ELAVL1,3
HIPK2,1,CREB1,27
HSF1,1,HDAC1,17
HSF1,1,PRKDC,17
HSPA1A,-1,NR3C1,11
HSPA1A,1,ENPP1,38
HSPA8,1,RNF5,51
IFNAR1,1,JAK1,8
IGF1R,1,IRS2,3
IGF1R,1,PDPK1,5
IGF1R,1,PTK2,5
IGF1R,1,RASA1,5
IKBKB,1,RELA,6
IL6ST,1,JAK1,40
IL6ST,1,TYK2,10
ILK,-1,GSK3A,3
ILK,1,AKT3,25
INSR,-1,ADRB2,11
INSR,-1,CALM3,23
INSR,1,CBL,2
INSR,1,PTK2,12
INSR,1,STAT5A,5
ITCH,-1,BID,1
ITCH,-1,CFLAR,11
ITCH,-1,MAVS,38
ITCH,1,NOTCH1,2
ITGA5,1,PTPN2,7
ITGA7,1,CSK,4
ITGB2,1,CSK,26
ITGB5,1,CSK,3
ITGB5,1,PTK2,3
JAK1,1,SOCS3,4
JAK1,1,STAT1,45
JAK1,1,STAT2,45
JAK1,1,STAT3,45
JAK1,1,STAT5A,45
JAK1,1,STAT5B,45
JAK1,1,TYK2,4
JUN,1,CREB1,100
JUN,1,SMAD4,100
KDM4C,1,HIF1A,2
KDM4C,1,KDM1A,2
KLC2,1,FYCO1,16
LATS1,-1,WWTR1,16
LATS1,1,YAP1,15
LATS2,-1,WWTR1,17
LATS2,-1,YAP1,43
LIFR,1,TYK2,27
MAP1LC3A,1,ATG3,2
MAP1LC3B,-1,NBR1,4
