ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
NR4A1,3.5387657764106457,10.49469212818657,8.470099522550983,5.986887113185486e-10,5.066103875177559e-6,11.259884913056332
VEGFA,1.9499275099074467,8.22987485679516,7.0941462695953135,3.100149345059346e-8,1.2055459852388596e-4,8.074544669091692
HES1,2.2992629556460296,5.878047924399586,6.985140488761726,4.273975367190474e-8,1.2055459852388596e-4,7.809984740324868
SLC25A25,2.535499306051779,6.293049666096337,6.762574163654656,9.569942584561113e-8,2.0245213537639035e-4,7.016953941950319
SLC20A1,2.5418425166033014,6.594561718985624,6.3418841481164705,2.897827608353442e-7,4.904283444377366e-4,6.218296586086561
CX3CL1,1.8191151387728057,4.9115510765753685,6.176508239795934,4.760411940752379e-7,6.713767640441105e-4,5.801718025548771
SDC4,1.724099098882852,7.5260128213642545,5.9480614550194195,9.468811923212065e-7,0.0011446440927745786,5.2222704713372945
EGR1,4.221499676903618,8.787865187055846,5.724810174385503,1.8570047217046681e-6,0.0017459971061183222,4.652295305034263
PRKAG2,3.114977093848627,7.263540946280873,6.000559024003059,1.1430802720829249e-6,0.0012090931577957138,4.620074674717686
KLF10,1.6440555374309298,8.505779493573602,5.205059759074662,8.916075801456121e-6,0.00754478334319217,3.316601236477039
GABARAPL1,1.4759919323761421,6.95194222528593,5.1479224898113785,1.059092854157141e-5,0.008147312483525206,3.1694583480680514
BHLHE40,1.6651007282501036,8.53286509191892,4.89930241575023,2.235841801486958e-5,0.01576641110348553,2.529677946362595
SLC19A2,1.5765451901517231,7.905072722507749,4.837515324359714,2.690476603946229e-5,0.0175129330943023,2.3709483856731204
SCML1,0.9460386812040555,5.488756783786385,4.519662898651915,6.935529898610549e-5,0.04192032428717319,1.5578011132376268
SMPDL3A,1.411542766459858,5.7351045279483746,4.485255663139359,7.679268277254962e-5,0.04332131210808766,1.4702429499007295
CHORDC1,1.077084550517256,6.200650884067097,4.458212608862888,8.318540053336925e-5,0.043994678707085656,1.4015045499457672
OSGIN1,1.7308425965233667,5.630735814305524,4.422796160614577,9.235619961658014e-5,0.045971656538558885,1.311594298565903
ACTG1,1.0735346633139962,8.779422985880524,4.15787884551014,2.0078667567661185e-4,0.094392047198638307,0.6437940997367617
PIK3R3,1.270997935685802,6.42367267638092,4.082649139278479,2.4981148005580464e-4,0.11047966191604457,0.45595245091683534
PDE7A,0.925132800914775,7.930983647295389,4.053409825476599,2.718743655989256e-4,0.11047966191604457,0.3831923582802812
FANCC,-1.1035186236042875,4.847900305342634,-4.050494996332934,2.741754786382576e-4,0.11047966191604457,0.3759469090962133
CSRNP1,1.5210978132824131,5.629600768825902,4.042451865826544,3.0361261650807146e-4,0.1167804527677864,0.2440092761064072
FOS,3.3518194716595344,7.8461322728356775,4.013480635134562,3.295637752729368e-4,0.12125081158085178,0.17563247215895483
FOSL2,1.2788791409592992,6.426879944053563,3.9665796537485707,3.4922218955616005e-4,0.12225079155522876,0.16799801952002724
ID2,1.0303588782302278,4.473283394911021,3.954867625266401,3.61175820004812e-4,0.12225079155522876,0.13907669354654395
ENC1,1.2073314024087232,4.371490750137313,4.045409489452079,3.807122972367477e-4,0.12390720996989842,0.08515520057266457
RIOK1,0.9476244514079672,4.990078431964782,3.9056196402002015,4.1595535427780406e-4,0.12731881879698276,0.01775246265302144
SNAP47,0.9742414462455171,4.815691322874741,3.901169451677164,4.212865665700209e-4,0.12731881879698276,0.0068126245978819
COA1,-0.8232689108751536,5.950991957022503,-3.813116619516616,5.415373534928057e-4,0.1580168650088318,-0.2088125196214996
PPP1R18,0.9699396734441814,5.143412155255964,3.8025391977210914,5.762890463960307e-4,0.1625519303534404,-0.27023882558380397
APBB3,1.5354025679705439,5.544589178140579,3.6683936451112467,8.150247227002878e-4,0.21192513958774556,-0.5594978068425949
ZNF75D,-0.7914401080670346,4.150395657437238,-3.7092318823811397,8.264629645941389e-4,0.21192513958774556,-0.564012216548563
PDK4,1.912464832485516,9.640468342887832,3.6638593540888174,8.254623924047616e-4,0.21192513958774556,-0.5704050129673011
PPIC,-0.7217826164792864,4.2064598224936764,-3.620937307313122,9.571340787391122e-4,0.2382137815967755,-0.6933855650161176
DNAJA1,1.0140826981589752,7.2935530102860415,3.5778077274670563,0.001049881757808385,0.24516641906849274,-0.7764160653553631
CD109,1.1328143370388495,4.284218126163373,3.594279436876143,0.0010602886049911095,0.24516641906849274,-0.7832007155976859
SMAD1,-0.7853431589907398,4.6304744481863995,-3.579976013594564,0.0010719874149768649,0.24516641906849274,-0.7962509591824176
HNRNPU,0.7304721440332713,7.743982791018567,3.5597116940990414,0.001104066511005641,0.24562902979906526,-0.8194932019388759
RHEB,0.8805587996338007,5.490349578986532,3.550694234901137,0.0011320647792677316,0.24562902979906526,-0.8409261992525146
BTG2,1.926319106696461,7.985199143304347,3.541434975722032,0.0011615257870860247,0.24572078025804853,-0.8629109713065484
FAM234B,0.9370939678936203,4.244488541845328,3.578284391610067,0.001216546673156418,0.25108336459145386,-0.9012298766749529
KLF6,1.1170835596360424,6.819879118036071,3.475316242565974,0.0013944405887259914,0.280946577661889,-1.01920949530935
KLHDC2,0.9633736350969171,4.956304812560447,3.4752366307801084,0.0014294520491787116,0.281302866050006,-1.0396945128477633
STK38L,0.9782067535072683,4.976745979374343,3.460242674202493,0.001489206603542105,0.28640150634484757,-1.071633898130762
