ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
PIM1,2.905629601891092,5.419296911401973,9.819988229215458,2.129243063997179e-11,1.2988822245577582e-7,15.721571259529306
SDC4,2.7717047103538635,7.5260128213642545,9.56225193959792,3.069555062171235e-11,1.2988822245577582e-7,15.441870419607614
NR4A1,3.8211516160507273,10.49469212818657,9.14599510780123,9.352821916382745e-11,2.425204466976156e-7,14.398626273461456
KLF10,2.851348937593997,8.505779493573602,9.027335924030075,1.2902094174032415e-10,2.425204466976156e-7,14.096590758356655
FNIP2,2.7573651053301784,6.289258663204273,8.988808622495712,1.4328278783978236e-10,2.425204466976156e-7,13.99808389021793
TNFRSF12A,3.7226852509121082,6.628646945210658,8.302306068016494,9.5764069460104e-10,1.1896249772740288e-6,12.207435107683416
ZFP36,4.0529389784058685,6.551150930089854,8.246681880120963,1.1198456102219174e-9,1.1896249772740288e-6,12.059481376103513
EGR1,6.080043002490478,8.787865187055846,8.245195950574878,1.1245421030594625e-9,1.1896249772740288e-6,12.055523254150145
THBS1,4.093589230832533,6.0615415759209395,8.196348494763768,1.6121380849367098e-9,1.5159471792021528e-6,11.721937032716031
MIDN,3.2196105886383295,6.278991400761161,7.998085487711256,2.2637294929197817e-9,1.915794269858011e-6,11.393202226393303
ATF3,4.749986562112892,6.552353051792038,7.921163787846179,2.8186530602287717e-9,2.0462032710729e-6,11.185403135161533
CSRNP1,3.0345904496555987,5.629600768825902,8.06469230190926,2.901387126654236e-9,2.0462032710729e-6,11.096148683545252
NABP1,2.7683714577834717,5.297940144641507,7.8797317181964415,3.172855519833649e-9,2.0655289434117055e-6,11.073163378559332
MAST4,2.3804067139511496,6.78869212537923,7.845440931732558,3.4999532179110534e-9,2.1157217202272318e-6,10.980104940520903
CCL2,3.4610837721778682,5.150121830683661,8.22758479673122,3.904321350774966e-9,2.202818106107236e-6,10.886537438567675
CPEB4,1.5805937558773282,7.8177011837816135,7.615900307201338,6.772835308852978e-9,3.582406576176422e-6,10.353422348078745
FOSL2,2.3629901709518037,6.426879944053563,7.32906529937967,1.5576959252871967e-8,7.754576832767968e-6,9.561534440746172
ICAM1,2.5653506417679153,5.091697928837903,7.37068217079067,1.9828717196843225e-8,9.32280186871579e-6,9.33371303041011
JMJD1C,1.7613595273459444,7.4526747947754135,7.2251156842693165,2.110865326829419e-8,9.402238558398619e-6,9.272282793756997
GABARAPL1,2.063784198420585,6.95194222528593,7.19800756096491,2.2853493141288822e-8,9.670455622736365e-6,9.196661969674786
KLF6,2.3065390860610915,6.819879118036071,7.175786162776462,2.4392116285663236e-8,9.830022863122285e-6,9.134615832435497
GPAT3,1.780400891569128,5.811458331673083,7.127682890119134,2.8091412216554533e-8,1.0806255526759136e-5,9.000128202089055
PPRC1,2.289799958669896,6.950708723758859,7.086162750262501,3.1738037415029605e-8,1.1678217854060676e-5,8.883856554752452
SAT1,2.1908437848627607,6.872628168888225,7.0502403257743005,3.527729736734886e-8,1.2439656984161393e-5,8.783121614763594
IRS2,2.295054312906778,5.360853713605276,6.961845200049663,5.3580728252235924e-8,1.8138148127946905e-5,8.38414326657126
ABHD2,1.7727042273115643,6.9122494944434765,6.826188650104737,6.838743483767717e-8,2.2260110039663918e-5,8.15205138304674
BTG2,3.6718807408139,7.985199143304347,6.750556975214351,8.55905900020183e-8,2.682789493285485e-5,7.93800568257694
PPARD,1.5665648247240291,6.165437058172017,6.7138834416779725,9.54439815238935e-8,2.8044618485363867e-5,7.834042198590322
PDK4,3.5033166388254715,9.640468342887832,6.71157932918116,9.609995699817465e-8,2.8044618485363867e-5,7.827506724813065
BHLHE40,2.2655197217894676,8.53286509191892,6.665942821103464,1.1007180734474934e-7,3.1051256851953794e-5,7.69797335070504
GADD45B,4.550879370128621,6.114843430618708,6.701792897542872,1.1429667869032558e-7,3.1202993282458884e-5,7.6656357225408875
GADD45A,2.362158071183165,4.758572575225544,6.919462505962922,1.1949806078760737e-7,3.160350276392254e-5,7.650122022333713
ETS2,1.7788181528672675,5.274032926186632,6.540042827511784,1.601952226283726e-7,4.108279300314901e-5,7.3397869924584525
KDM6B,2.351640345128552,6.200026646897539,6.450227919599518,2.095055970823024e-7,5.2148407885515446e-5,7.08356320335987
NOP58,1.3683145180279501,6.439688937602481,6.348389158411756,2.8418809354543275e-7,6.716494647681153e-5,6.792396939022651
LMCD1,1.8168125989013841,9.028470342808069,6.338658827736226,2.925976796312645e-7,6.716494647681153e-5,6.764543762704842
FLNC,1.534604115089472,11.940605717846964,6.337468738002795,2.936432730287163e-7,6.716494647681153e-5,6.761136735975531
DIAPH1,1.4728498865565074,6.970328267192227,6.268158832929882,3.6149356602660934e-7,8.050842234955776e-5,6.56257497044779
ZFP36L1,1.372537193079972,8.27513451555365,6.232048410221121,4.028837496344882e-7,8.742577367068394e-5,6.459020693107935
DGKD,1.8286032820145754,7.861457448489021,6.207858619061836,4.332444456759102e-7,9.166369359388069e-5,6.389613846991996
DNAJA4,1.8699560531395214,6.6689537381075645,6.178782292746903,4.727987087713313e-7,9.7592572495897e-5,6.306148105074931
HES1,2.0080979740357963,5.878047924399586,6.100583854227614,5.981405963053604e-7,1.2052533015553011e-4,6.081480730334721
SLC19A2,1.9809608643115943,7.905072722507749,6.07843568197494,6.393652157663522e-7,1.2583599583792184e-4,6.017800609775551
RNF149,1.6721392341493413,4.790949492654421,6.027854641219245,8.330439866458944e-7,1.6022843770418645e-4,5.774740239072632
BCL3,2.603260317206304,4.920836356217913,6.045435941424499,1.0048676848004823e-6,1.8898211592147736e-4,5.601302180420533
PPP1R18,1.519488396221118,5.143412155255964,5.956983042663083,1.0280396203352053e-6,1.8913694145427919e-4,5.5783945653894875
SUSD6,1.8068879915487894,5.166209919470355,5.905180647649156,1.0775591246359602e-6,1.9402942280413046e-4,5.519058339430193
FOS,4.979430688611418,7.8461322728356775,5.962388133285085,1.1334288307618384e-6,1.9983767072369663e-4,5.4951367370396715
VEGFA,1.6009678575905326,8.22987485679516,5.824575578815728,1.374158769592731e-6,2.3733685034823024e-4,5.286737845426555
P2RX5,1.4661575380707692,4.608038584768098,5.911431143924409,1.4769613233383469e-6,2.499904735882486e-4,5.253644820111324
HBEGF,2.4387174100904625,5.41695577068355,5.814431825164191,1.5702619107986688e-6,2.6057110884488495e-4,5.168945446207618
MT2A,2.046236646402668,5.843786774364602,5.768845857688247,1.62585006862679e-6,0.00026460709866901007,5.126040905697505
CSF1,1.8607529833671839,5.106907998515144,5.732798388529789,1.8127555657180973e-6,2.894594406164577e-4,5.022074909871631
IRF1,1.822120647330694,5.3619212236858615,5.69875112058967,2.009013161655832e-6,3.136791606219959e-4,4.923865866614416
IL6R,1.5981435720610966,5.544854126723415,5.693915357937131,2.038562428714377e-6,3.136791606219959e-4,4.909916434524887
CEMIP2,2.0273450187519177,5.121192252138336,5.6583271628175575,2.269836252786823e-6,3.430290037024086e-4,4.8072535338384705
ARL5B,1.9321551404377546,4.894359900485555,5.681499572345114,2.332057678370029e-6,3.4624919529904486e-4,4.790994621905486
JUNB,3.8941381961559842,5.819368390168472,5.636610601352073,2.665480349887285e-6,3.889303482947603e-4,4.672222516787599
SCML1,1.158360679317429,5.488756783786385,5.534022962892957,3.30391474683851e-6,4.7287644951282096e-4,4.448668538588742
HSPB8,1.4599069791865027,8.124395131506754,5.529184705297352,3.3525448388005735e-6,4.7287644951282096e-4,4.4347131803100615
STOM,1.1061008110103527,6.694233731807522,5.482652561573284,3.8583589524441785e-6,5.352998658120506e-4,4.300510786751091
DNAJB5,1.1190053511785205,8.716919591002172,5.470216718385874,4.006004497748609e-6,5.468196139426851e-4,4.264649893093497
KLF5,1.5827885463008364,4.476725706302144,5.492901143876402,4.486389582666702e-6,6.026716672715603e-4,4.193393316973928
ZBTB43,1.1301087950199369,7.157333234325426,5.355551726944209,5.663021453269412e-6,7.488461024846724e-4,3.934139459596948
PRKAG2,2.7959782103645354,7.263540946280873,5.386053179732993,6.730496295173257e-6,8.501520917321085e-4,3.825874113183425
B3GNT5,1.6971317706398859,7.327261038286816,5.314135027115637,6.416891476871419e-6,8.354792702886587e-4,3.814844548935368
DOT1L,1.8203888182321553,5.484455012549369,5.298466529770118,6.727500156263133e-6,8.501520917321085e-4,3.769728251351414
IFRD1,1.8377059497775559,6.948789290658483,5.286124610224168,6.982682716501342e-6,8.690359386728068e-4,3.7341966859663733
PANX1,1.5980252620640858,5.361549347266827,5.275609156303662,7.2077005080803235e-6,8.840401362301998e-4,3.7039278088370517
IL1R1,2.0231264926196966,5.2586182657736575,5.258547684907683,7.588274887975219e-6,9.161906178043125e-4,3.654825138774199
AMD1,1.323697518752084,5.9678254828445505,5.254289350388097,7.686344542609735e-6,9.161906178043125e-4,3.642571507495643
RUNX1,2.2947707314950225,5.270024526415771,5.257285985651315,8.247517260358616e-6,9.694269246446523e-4,3.5981859695264387
KIAA0040,1.8935363319369651,5.402341294333933,5.188085696062466,9.384016474387877e-6,0.0010879031701745837,3.4521664918817665
OSGIN1,2.0266645217616466,5.630735814305524,5.178705495060988,9.65302086799118e-6,0.001103966427105532,3.4252049317781195
SLC36A1,1.1164343124037162,4.616025688871993,5.235892125473808,1.0392134191035967e-5,0.001142190021542044,3.3835537049931803
NPIPB4,1.1307011419380366,4.412202942179497,5.1829624577721845,1.0288565783737347e-5,0.001142190021542044,3.3734439967113294
DDX21,1.296294570475827,6.634185890666415,5.157227603295875,1.0298232032166139e-5,0.001142190021542044,3.363487513861304
ADAMTS4,3.362068700630651,5.79397329735969,5.299811910924531,1.1530945474592724e-5,0.001233608358388075,3.3298973378855345
SBNO2,1.7183501635977332,4.695139877656457,5.167486766913418,1.1661192091580527e-5,0.001233608358388075,3.278235968463992
EIF4E,1.206665924110876,7.587941095292121,5.118478273027865,1.1572776580565462e-5,0.001233608358388075,3.252201828119177
ENAH,2.6429996440723285,7.179066961571837,5.050825657696395,1.4185351862526436e-5,0.0014821065779328547,3.0581173673973074
LRRC8B,1.5130541822507126,4.888768090037855,5.066931424130884,1.566033870197607e-5,0.001603038542545575,2.9820603034110755
CHST3,1.4966304169908167,4.59103643661785,5.0362854889845625,1.5909353998982474e-5,0.001603038542545575,2.973994062343772
MXD1,1.741328521931985,5.016617949144313,5.032263128485122,1.6100469823511033e-5,0.001603038542545575,2.9626545661966794
ANXA11,1.1918386361204627,7.261634930247004,5.009365718058957,1.6068170344880545e-5,0.001603038542545575,2.939321425115632
LONRF3,1.5053731049021675,4.434627768778321,5.0576949457536555,1.7397953981181045e-5,0.0016359876060303908,2.9245357705231063
SRPK2,1.3661229584473658,6.2332625457094855,5.001087986994666,1.6472827204972083e-5,0.0016210411236706832,2.9156174122530016
RND3,1.9634167126607283,5.1479472475851695,5.010176458101331,1.7191313685586656e-5,0.0016359876060303908,2.900406192920201
LIMS1,1.2078362022308076,6.73701170299849,4.9882249455663406,1.7121818484583336e-5,0.0016359876060303908,2.8787927927741146
ATP13A3,1.741943458539307,5.831716560242654,4.985778559259833,1.7248093072183e-5,0.0016359876060303908,2.871790594008691
DDX5,0.9870761966878145,9.226151895163376,4.956387293444174,1.8839458431669247e-5,0.00175206963414524,2.7877003404767278
LITAF,1.5237818268559327,5.838020908121976,4.933904737572034,2.015444074992855e-5,0.0018539894789852752,2.7234216886433673
NUFIP2,0.908089775510863,7.096402090925841,4.9302835583805,2.037459781593864e-5,0.0018540884012504162,2.7130723657148232
ARID5A,1.9318361834582518,4.970614411884949,4.944962398112758,2.0859888902495066e-5,0.001878055742359742,2.6993757226563035
STRIP2,1.256667299058269,6.363009430285342,4.915668734222015,2.128765987181502e-5,0.0018963943736333738,2.671314168291123
NIPBL,0.8832882370253738,7.130567829323512,4.905313743024623,2.195905790247419e-5,0.0019358281982149905,2.6417381585796873
PRKG1,1.092983830198576,7.429369604910568,4.87414210043931,2.4109625956207338e-5,0.002103502726467863,2.552761105369819
TAB1,-1.3193478710577864,5.38794897095554,-4.867273115882301,2.4610924416650263e-5,0.002125329115695012,2.533165641861772
PLAU,1.9555770614373063,4.672059235186546,4.84745471806228,3.1922132986385694e-5,0.002728858701654365,2.371366806807294
UGCG,1.8789285296630833,4.872918168536401,4.8834053947785625,3.35199760576439e-5,0.002808708488869706,2.343463783928235
WNT9A,1.4378681869960053,4.669553340194361,4.866373410520479,3.254339992596392e-5,0.002754147935734326,2.3368677170609615
APOLD1,1.669017902452838,4.785703608086818,4.789005429874171,3.530741632138483e-5,0.0029294771012537235,2.247741993719221
SLC39A14,1.5146428117587032,4.583993046287132,4.8342382474986385,3.565669869739578e-5,0.0029297343793792284,2.235780116210421
