ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
NABP1,2.4584174223835795,5.297940144641507,6.997496555333213,4.120994909923447e-8,1.6906762694307332e-4,8.52874411527042
ADAMTS4,3.1988915231253205,5.79397329735969,7.131294703215538,8.259524359157219e-8,1.6906762694307332e-4,7.918862674863997
TNFRSF12A,3.0332884956759774,6.628646945210658,6.764818346521518,8.204188822311698e-8,1.6906762694307332e-4,7.892993716891479
GADD45A,2.556529666381609,4.758572575225544,7.060541002830446,8.183356792074923e-8,1.6906762694307332e-4,7.763677116442344
THBS1,3.3411027717238326,6.0615415759209395,6.689689934595684,1.1841488182647072e-7,1.6906762694307332e-4,7.559243090168475
ZFP36,3.262015663707845,6.551150930089854,6.637357633534138,1.1984945199178164e-7,1.6906762694307332e-4,7.542503611435259
ICAM1,2.1231657909137276,5.091697928837903,6.397955287611717,3.189849813760305e-7,3.6659031549796046e-4,6.648512256006527
MT2A,2.2283548362002,5.843786774364602,6.282281958380792,3.464936819451422e-7,3.6659031549796046e-4,6.5589401232080276
DEPP1,1.8497051690063495,5.637750136752525,6.209412219270475,4.312271670281792e-7,4.055451935251677e-4,6.355963046470898
KLF5,1.7079877443100768,4.476725706302144,6.190958812272245,5.818948906945828e-7,4.42887164924395e-4,6.068622149378198
BCL3,2.183248414265665,4.920836356217913,6.209531125317116,6.279118595336412e-7,4.42887164924395e-4,6.0279654895296
RUNX1,2.5499428145905325,5.270024526415771,6.127016979874606,6.208997019902818e-7,4.42887164924395e-4,6.024241435214981
PPRC1,1.9291123433608126,6.950708723758859,5.969955574868495,8.864162906893227e-7,5.771251911072636e-4,5.6868385024697465
KDM6B,2.163525489219823,6.200026646897539,5.934254591370368,9.871221204617855e-7,5.967858305420394e-4,5.586842451720757
SLC36A1,1.332790446304831,4.616025688871993,5.959681396334645,1.2855766914990113e-6,7.254080744565088e-4,5.345237833391547
CCL2,2.674175771311255,5.150121830683661,5.963367054243907,1.6353487531738725e-6,8.020760237701704e-4,5.105061159896085
CSF1,1.869929386334034,5.106907998515144,5.761069990731206,1.6644625806576954e-6,8.020760237701704e-4,5.101120330337433
FNIP2,1.7609266713625882,6.289258663204273,5.7404921881867805,1.7711358125210557e-6,8.020760237701704e-4,5.043349187503574
ARAP2,1.6598669190526887,4.275653515105562,5.898400656705678,1.958695710114641e-6,8.020760237701704e-4,4.971975937683938
MAST4,1.7317702953435115,6.78869212537923,5.7076387324142726,1.9558185704520143e-6,8.020760237701704e-4,4.951095396132264
IRF1,1.823126124382414,5.3619212236858615,5.701895788031758,1.990027941773816e-6,8.020760237701704e-4,4.93496674078536
CEMIP2,2.033800176248252,5.121192252138336,5.6763435303642416,2.1496471093481524e-6,8.192079312605251e-4,4.863197737197136
JMJD1C,1.3794552266929276,7.4526747947754135,5.6585401443534,2.2683768652837425e-6,8.192079312605251e-4,4.813186672502904
TNFRSF1A,1.2354243770428095,6.215779591228762,5.650675353363211,2.3228958353323017e-6,8.192079312605251e-4,4.791092359758424
SAT1,1.7344178143925726,6.872628168888225,5.581439672357942,2.863102555115535e-6,9.66355233868213e-4,4.5965588113946465
EIF4E,1.3129862244485748,7.587941095292121,5.569471490277534,2.9684825236972515e-6,9.66355233868213e-4,4.562927068214111
PIM1,1.5524086317717183,5.419296911401973,5.50266542259963,3.971978283135987e-6,0.0012268272194899043,4.299165611597432
P2RX5,1.3748227343030761,4.608038584768098,5.543176444482619,4.272928632095237e-6,0.0012268272194899043,4.237118018877103
WNT9A,1.646729895228523,4.669553340194361,5.57325257553078,4.348395154146636e-6,0.0012268272194899043,4.2148954396794585
WDR43,1.3391437680950382,6.830464879104169,5.443282395932887,4.34542092005321e-6,0.0012268272194899043,4.208305859559341
ABHD2,1.4091412458736885,6.9122494944434765,5.426209195408439,4.575293999194659e-6,0.0012492028519091483,4.160330223088599
PLAU,1.7597348152556997,4.672059235186546,5.342341945603257,7.637697946544023e-6,0.001962020809328748,3.706316193922013
ATP13A3,1.8363107805189856,5.831716560242654,5.255876057726047,7.649655801967e-6,0.001962020809328748,3.681928593814505
LRRC8B,1.580793488794984,4.888768090037855,5.293777511339366,8.049743836303806e-6,0.002003912700896336,3.649383695461556
IL1R1,2.001988897816818,5.2586182657736575,5.203606458730933,8.95521365246619e-6,0.002165626524413538,3.5352607349453224
TAB1,-1.3945711222354413,5.38794897095554,-5.144783025268607,1.0691538477905248e-5,0.0025136994910275007,3.3703161079548254
SERPINB1,1.846466184843126,4.965077808832242,5.133763251758551,1.1052276948967765e-5,0.0025282830296233286,3.339431193755126
SPSB1,1.6795665699987272,4.627346020004575,5.26205720380163,1.1591352373229834e-5,0.002581821223342561,3.33108649564538
ETS2,1.3833194594902505,5.274032926186632,5.085943436440611,1.276330553660719e-5,0.0027699645656882885,3.205469956148371
KIAA0040,1.8241490423216966,5.402341294333933,4.997971992580857,1.6627762101897792e-5,0.0035184344607615725,2.9593310289560177
LRRC59,1.0142070974400905,4.234218228991199,5.057042360373852,1.743079907614796e-5,0.0035983971556223498,2.937626440111922
