Node,NodeType,ZeroAct,UpAct,DownAct,AvgAct
AAK1,,93,7,0,7
ABI1,,64,36,0,36
ABL1,,62,20,18,2
ABL2,,100,0,0,0
ABRAXAS1,,32,68,0,68
ACAT1,,82,18,0,18
ACTB,,93,7,0,7
ACTN1,,97,3,0,3
ACVR1,,100,0,0,0
ADAM10,,100,0,0,0
ADAM17,,80,20,0,20
ADAM9,,91,9,0,9
ADRB2,,74,4,22,-18
AFAP1L2,,100,0,0,0
AHSA1,,100,0,0,0
AIMP1,,100,0,0,0
AKAP12,,100,0,0,0
AKT1,,82,5,13,-8
AKT1S1,,95,5,0,5
AKT2,,100,0,0,0
AKT3,,91,9,0,9
ALDH2,,80,20,0,20
AMBRA1,,90,10,0,10
ANAPC1,,100,0,0,0
ANKRD28,,90,10,0,10
AP2M1,,93,7,0,7
APBB1,,29,71,0,71
APC,,87,13,0,13
APEX1,,90,10,0,10
ARAF,,100,0,0,0
ARF1,,100,0,0,0
ARHGAP1,,100,0,0,0
ARHGAP24,,100,0,0,0
ARHGAP31,,100,0,0,0
ARHGAP32,,100,0,0,0
ARHGDIA,,100,0,0,0
ARHGEF1,,100,0,0,0
ARHGEF11,,100,0,0,0
ARHGEF12,,98,2,0,2
ARHGEF2,,97,3,0,3
ARHGEF6,,95,0,5,-5
ARHGEF7,,100,0,0,0
ARHGEF9,,97,3,0,3
ARNT,,98,2,0,2
ARPC2,,100,0,0,0
ARRB1,,95,0,5,-5
ASXL1,,100,0,0,0
ATF1,M,0,100,0,100
ATF2,,0,0,100,-100
ATF3,M,0,0,100,-100
ATF4,M,0,100,0,100
ATG13,,95,4,1,3
ATG3,,73,27,0,27
ATG9A,,98,2,0,2
ATM,,0,100,0,100
ATR,,100,0,0,0
AXIN1,,70,0,30,-30
BAG2,,100,0,0,0
BAG3,,90,10,0,10
BCAR1,,94,0,6,-6
BCL2L1,,100,0,0,0
BCL2L11,,100,0,0,0
BCL3,,23,5,72,-67
BCL6,M,0,0,100,-100
BECN1,,100,0,0,0
BHLHE41,,95,5,0,5
BID,,100,0,0,0
BIRC2,,100,0,0,0
BIRC3,,81,2,17,-15
BIRC6,,100,0,0,0
BMPR1A,,100,0,0,0
BMPR2,,79,7,14,-7
BNIP3,,94,6,0,6
BNIP3L,,100,0,0,0
BRAF,,100,0,0,0
BRCA1,,96,4,0,4
BRD4,,100,0,0,0
BRMS1,,100,0,0,0
BTG2,,100,0,0,0
CABIN1,,100,0,0,0
CALM1,P,55,33,12,21
CALM2,P,32,67,1,66
CALM3,P,88,0,12,-12
CAMKK2,,59,21,20,1
CAPN1,,100,0,0,0
CAPN2,,83,17,0,17
CARM1,,100,0,0,0
CASP2,,96,0,4,-4
CASP3,,37,42,21,21
CASP6,,61,14,25,-11
CASP7,,100,0,0,0
CASP8,,92,8,0,8
CAV1,,100,0,0,0
CBL,,58,42,0,42
CBLB,,100,0,0,0
CCAR2,,85,15,0,15
CCL2,,91,0,9,-9
CCNC,,100,0,0,0
CCND1,,100,0,0,0
CCND2,,100,0,0,0
CCND3,,94,6,0,6
CCNH,,100,0,0,0
CD2AP,,84,16,0,16
CDC42,,57,0,43,-43
CDK4,,95,5,0,5
CDK5,,100,0,0,0
CDK6,,100,0,0,0
CDK7,,100,0,0,0
CDK8,,100,0,0,0
CDK9,,100,0,0,0
CDKN1B,,95,0,5,-5
CDKN2C,,100,0,0,0
CEBPB,M,0,100,0,100
CFLAR,,56,0,44,-44
CHKA,,100,0,0,0
CHUK,,72,0,28,-28
CLASP2,,100,0,0,0
CLK2,,100,0,0,0
COL1A1,,100,0,0,0
COP1,,100,0,0,0
CRADD,,100,0,0,0
CREB1,M,0,100,0,100
CREBBP,,100,0,0,0
CREM,M,0,100,0,100
CRK,,99,1,0,1
CRKL,,100,0,0,0
CRTC2,,100,0,0,0
CSDE1,,100,0,0,0
