Node1,Sign,Node2,Weight
AAK1,1,AP2M1,55
ABL1,-1,GRB2,2
ABL1,-1,PLCG1,2
ABL1,-1,PRKDC,15
ABL1,1,AHSA1,11
ABL1,1,CEBPB,27
ABL1,1,DDX5,27
ABL1,1,ERCC6,2
ABL1,1,JAK2,3
ABL1,1,JUN,27
ABL1,1,MAP2K6,15
ABL1,1,RAPGEF1,4
ABL1,1,STAT1,27
ABL1,1,STAT3,27
ABL1,1,STAT5A,27
ABL1,1,STAT5B,27
ABL1,1,STK3,15
ABL1,1,STK4,17
ADAM17,1,NOTCH1,5
ADAM9,1,ITGB1,3
ADRB2,1,GNAQ,20
ADRB2,1,GNAS,37
AIMP1,1,SMURF2,20
AKT1,-1,EZH2,17
AKT1,-1,GSK3A,10
AKT1,-1,GSK3B,14
AKT1,-1,PTPN1,1
AKT1,-1,STK3,17
AKT1,1,BRCA1,2
AKT1,1,CREB1,17
AKT1,1,CTNNB1,13
AKT1,1,EP300,1
AKT1,1,IKBKB,7
AKT1,1,RPS6KB1,17
AKT2,-1,GSK3A,45
AKT2,-1,GSK3B,41
AKT2,-1,PTPN1,51
AKT2,-1,STK3,85
AKT2,1,CREB1,85
AKT2,1,CTNNB1,22
AKT2,1,EP300,2
AKT2,1,MYO5A,1
AKT3,-1,GSK3B,12
AKT3,-1,STK3,16
AKT3,1,CREB1,16
APEX1,1,ARNT,6
APEX1,1,EGR1,26
APEX1,1,STAT3,26
ARAF,1,MAPK3,68
ARHGEF6,-1,ARHGEF12,9
ARHGEF6,1,GIT1,29
ARHGEF6,1,PAK1,3
ARHGEF6,1,RAC1,13
ARNT,1,HIF1A,13
ATF2,1,ATF3,100
ATG13,1,RB1CC1,13
ATG3,1,GABARAP,27
ATM,-1,TRIM28,13
ATM,-1,ZNF420,77
ATM,1,ABL1,27
ATM,1,AKT1,17
ATM,1,BRCA1,41
ATM,1,EP300,8
ATM,1,HIF1A,100
ATM,1,PPP2R5C,88
ATM,1,PRKDC,82
ATM,1,SMC3,100
ATM,1,SP1,100
ATM,1,TAOK3,26
AXIN1,1,APC,9
AXIN1,1,CTNNB1,14
AXIN1,1,GSK3A,26
AXIN1,1,RNF111,10
BAG3,1,HSPA8,5
BCL3,1,HDAC1,60
BCL3,1,HDAC3,2
BCL3,1,NFKB1,66
BCL3,1,NFKB2,6
BMPR2,1,ACVR1,20
BRCA1,-1,ABL1,10
BRCA1,1,NFE2L2,41
CALM1,1,PPP3CB,3
CALM1,1,PPP3CC,96
CALM1,1,RAC1,100
CALM3,-1,NRAS,79
CAPN1,-1,PTK2,1
CAPN2,1,GSK3A,12
CAPN2,1,GSK3B,9
CASP3,-1,AKT1,2
CASP3,-1,BRCA1,7
CASP3,-1,EIF2A,15
CASP3,-1,IKBKB,5
CASP3,-1,KDM4C,15
CASP3,-1,PPP2R5C,8
CASP3,-1,RELA,15
CASP3,1,PSEN1,6
CASP3,1,STK3,15
CCL2,1,MMP14,3
CCND2,-1,RB1,3
CCND2,1,CDK6,3
CD2AP,1,ACTB,6
CDK6,-1,RB1,3
CEBPB,1,CREB1,100
CEBPB,1,STAT3,100
CFLAR,-1,ATG3,17
CHUK,-1,NFKB1,78
CHUK,1,NFKB2,78
CREB1,1,CD2AP,21
CREB1,1,CTNNB1,22
CSNK1A1,-1,IFNAR1,14
CSNK1A1,1,GSK3B,6
CTNNB1,1,NOTCH1,6
CTNNB1,1,SMAD7,22
CTNNB1,1,TCF7,14
CYLD,-1,BCL3,15
CYLD,1,MAP3K7,15
CYTH2,1,ARF1,6
DDX5,1,HDAC1,88
DYNLL1,-1,AMBRA1,19
EIF2A,1,ATF4,100
EIF2AK2,-1,EIF2A,16
EIF2AK4,-1,EIF2A,82
EP300,-1,BCL6,8
EP300,1,APEX1,2
EP300,1,DDX5,8
EP300,1,FLI1,8
EP300,1,HIF1A,8
EP300,1,MEF2A,8
EP300,1,RELA,8
EP300,1,SMAD4,8
EP300,1,SMAD7,3
EP300,1,STAT3,8
EP300,1,STAT5A,8
ETS1,1,STAT1,100
EZH2,-1,ADRB2,14
EZH2,-1,BRCA1,5
FGFR1,-1,CTTN,8
FGFR1,1,ACAT1,78
FGFR1,1,PLCG1,13
FHL1,-1,RBPJ,87
FYCO1,1,MAP1LC3A,14
GAPDH,1,APEX1,22
GIT1,1,PTK2,6
GNAQ,-1,GSK3B,13
GNAQ,1,ARHGEF12,19
GNAQ,1,HRAS,15
GNAS,1,AXIN1,27
GRB2,1,SOS2,2
GSK3A,-1,ANKRD28,32
GSK3A,-1,BCL3,45
GSK3A,-1,CTNNB1,6
GSK3A,-1,JUN,60
GSK3A,-1,NBR1,10
GSK3A,-1,NFATC1,60
GSK3A,-1,NOTCH1,23
GSK3A,-1,PSEN1,5
GSK3A,1,ANAPC1,40
GSK3A,1,CREB1,40
GSK3A,1,MITF,40
GSK3A,1,RELA,40
GSK3B,-1,CREB1,50
GSK3B,-1,CTNNB1,36
GSK3B,-1,JUN,50
GSK3B,-1,KLC2,14
GSK3B,-1,MAP3K4,23
GSK3B,-1,NFE2L2,50
GSK3B,1,CEBPB,23
GSK3B,1,CTTN,2
GSK3B,1,MARK2,50
GSK3B,1,NFKB1,23
GSK3B,1,NOTCH1,2
GSK3B,1,PRKCE,1
GSK3B,1,RELA,23
GTF2A2,1,TBP,100
HDAC1,1,FLI1,88
HDAC1,1,TRIM28,81
HDAC2,-1,YY1,3
HDAC2,1,STAT3,3
HDAC3,1,HDAC1,2
HDAC3,1,SMAD7,2
HDAC3,1,TRIM28,2
HIPK2,1,PML,6
HRAS,1,ARAF,13
HRAS,1,ARHGEF6,26
HSPA8,1,RNF5,5
IFNAR1,1,JAK1,14
IGF1R,1,CTTN,2
IGF1R,1,PDPK1,71
IGF1R,1,PTK2,7
IGF1R,1,RASA1,34
IKBKB,-1,CYLD,15
IKBKB,1,RELA,18
