Node,NodeType,ZeroAct,UpAct,DownAct,AvgAct
AAK1,,73,18,9,9
ABI1,,67,33,0,33
ABL1,,24,40,36,4
ABL2,,100,0,0,0
ABRAXAS1,,15,85,0,85
ACAT1,,83,17,0,17
ACTB,,87,13,0,13
ACTN1,,83,17,0,17
ACVR1,,67,33,0,33
ADAM10,,100,0,0,0
ADAM17,,61,37,2,35
ADAM9,,48,52,0,52
ADRB2,,17,37,46,-9
AFAP1L2,,100,0,0,0
AHSA1,,100,0,0,0
AIMP1,,61,14,25,-11
AKAP12,,100,0,0,0
AKT1,,84,0,16,-16
AKT1S1,,90,10,0,10
AKT2,,39,59,2,57
AKT3,,81,19,0,19
ALDH2,,48,52,0,52
AMBRA1,,64,36,0,36
ANAPC1,,55,45,0,45
ANKRD28,,85,6,9,-3
AP2M1,,73,27,0,27
APBB1,,71,29,0,29
APC,,68,32,0,32
APEX1,,86,14,0,14
ARAF,,79,21,0,21
ARF1,,100,0,0,0
ARHGAP1,,98,2,0,2
ARHGAP24,,100,0,0,0
ARHGAP31,,100,0,0,0
ARHGAP32,,100,0,0,0
ARHGDIA,,100,0,0,0
ARHGEF1,,100,0,0,0
ARHGEF11,,100,0,0,0
ARHGEF12,,90,10,0,10
ARHGEF2,,100,0,0,0
ARHGEF6,,90,1,9,-8
ARHGEF7,,100,0,0,0
ARHGEF9,,56,21,23,-2
ARNT,,68,32,0,32
ARPC2,,100,0,0,0
ARRB1,,74,4,22,-18
ASXL1,,100,0,0,0
ATF1,M,0,100,0,100
ATF2,,0,0,100,-100
ATF3,M,0,0,100,-100
ATF4,M,0,100,0,100
ATG13,,69,22,9,13
ATG3,,100,0,0,0
ATG9A,,84,16,0,16
ATM,,0,100,0,100
ATR,,100,0,0,0
AXIN1,,68,32,0,32
BAG2,,100,0,0,0
BAG3,,84,16,0,16
BCAR1,,100,0,0,0
BCL2L1,,100,0,0,0
BCL2L11,,100,0,0,0
BCL3,,95,0,5,-5
BCL6,M,0,0,100,-100
BECN1,,100,0,0,0
BHLHE41,,55,45,0,45
BID,,100,0,0,0
BIRC2,,55,9,36,-27
BIRC3,,100,0,0,0
BIRC6,,100,0,0,0
BMPR1A,,100,0,0,0
BMPR2,,54,46,0,46
BNIP3,,100,0,0,0
BNIP3L,,1,99,0,99
BRAF,,100,0,0,0
BRCA1,,59,41,0,41
BRD4,,95,5,0,5
BRMS1,,100,0,0,0
BTG2,,100,0,0,0
CABIN1,,100,0,0,0
CALM1,,61,16,23,-7
CALM2,,57,22,21,1
CALM3,,40,35,25,10
CAMKK2,,86,0,14,-14
CAPN1,,86,14,0,14
CAPN2,,77,23,0,23
CARM1,,100,0,0,0
CASP2,,85,0,15,-15
CASP3,,71,20,9,11
CASP6,,96,4,0,4
CASP7,,89,6,5,1
CASP8,,100,0,0,0
CAV1,,19,65,16,49
CBL,,91,7,2,5
CBLB,,100,0,0,0
CCAR2,,84,16,0,16
CCL2,,48,0,52,-52
CCNC,,100,0,0,0
CCND1,,100,0,0,0
CCND2,,100,0,0,0
CCND3,,100,0,0,0
CCNH,,100,0,0,0
CD2AP,,98,2,0,2
CDC42,,72,0,28,-28
CDK4,,100,0,0,0
CDK5,,100,0,0,0
CDK6,,100,0,0,0
CDK7,,100,0,0,0
CDK8,,100,0,0,0
CDK9,,95,5,0,5
CDKN1B,,100,0,0,0
CDKN2C,,100,0,0,0
CEBPB,M,0,100,0,100
CFLAR,,85,13,2,11
CHKA,,100,0,0,0
CHUK,,32,0,68,-68
CLASP2,,100,0,0,0
CLK2,,95,0,5,-5
COL1A1,,86,14,0,14
COP1,,100,0,0,0
CRADD,,100,0,0,0
CREB1,M,0,100,0,100
CREBBP,,100,0,0,0
CREM,M,0,100,0,100
CRK,,84,0,16,-16
CRKL,,100,0,0,0
CRTC2,,100,0,0,0
CSDE1,,100,0,0,0
CSK,,63,23,14,9
CSNK1A1,,94,6,0,6
CSNK1G1,,100,0,0,0
CSNK2A1,,100,0,0,0
CTBP1,,24,76,0,76
CTNNA1,,91,0,9,-9
CTNNB1,,47,53,0,53
CTNND1,,100,0,0,0
CTTN,,55,45,0,45
CUL1,,96,0,4,-4
CUL3,,100,0,0,0
CYLD,,100,0,0,0
CYTH2,,100,0,0,0
DAAM1,,100,0,0,0
DAB2,,94,0,6,-6
DAB2IP,,78,6,16,-10
DAG1,,74,21,5,16
DAPK3,,100,0,0,0
DAXX,,94,0,6,-6
DCLRE1B,,100,0,0,0
DDB2,,100,0,0,0
DDIT3,,100,0,0,0
DDR1,,100,0,0,0
DDR2,,100,0,0,0
DDX17,,100,0,0,0
DDX3X,,100,0,0,0
DDX5,,68,32,0,32
DLC1,,100,0,0,0
DNAJB1,,100,0,0,0
DNM1,,100,0,0,0
DNMT3A,,100,0,0,0
DOCK1,,100,0,0,0
DOCK7,,100,0,0,0
DOK4,,100,0,0,0
DPYSL2,,100,0,0,0
DUSP1,,100,0,0,0
DUSP16,,100,0,0,0
DUSP3,,95,5,0,5
DUSP6,,100,0,0,0
DVL1,,100,0,0,0
DVL2,,86,14,0,14
DVL3,,100,0,0,0
DYNLL1,,84,0,16,-16
DYRK1B,,100,0,0,0
DYRK2,,100,0,0,0
ECSIT,,91,0,9,-9
EEF1A1,,100,0,0,0
EGFR,,100,0,0,0
EGLN1,,100,0,0,0
EGLN2,,100,0,0,0
EGR1,M,0,100,0,100
EIF2A,,70,30,0,30
EIF2AK2,,100,0,0,0
EIF2AK3,,8,54,38,16
EIF2AK4,,93,0,7,-7
EIF2B1,,100,0,0,0
EIF2B2,,100,0,0,0
EIF2B3,,100,0,0,0
EIF2B4,,100,0,0,0
EIF2B5,,100,0,0,0
EIF2S2,,100,0,0,0
EIF3J,,100,0,0,0
EIF4E,,100,0,0,0
EIF4EBP3,,100,0,0,0
EIF4G2,,96,0,4,-4
ELAVL1,,70,19,11,8
ELF1,M,0,100,0,100
ELK1,M,0,100,0,100
ELK4,M,0,100,0,100
ENPP1,,100,0,0,0
EP300,,57,41,2,39
EPB41,,100,0,0,0
EPHA2,,100,0,0,0
ERBB2,,74,10,16,-6
ERC1,,73,0,27,-27
ERCC6,,79,21,0,21
ERRFI1,,100,0,0,0
ETS1,M,0,100,0,100
ETS2,M,0,100,0,100
EZH2,,100,0,0,0
FANCC,,100,0,0,0
FAS,,100,0,0,0
FBXO31,,100,0,0,0
FBXW7,,73,1,26,-25
FGFR1,,18,21,61,-40
FH,,100,0,0,0
FHL1,,100,0,0,0
