TF,t
AHR,1.7688775098251226
AR,0.6809569820957502
ARID2,-0.4204739836287376
ARID3A,2.847617496063791
ARNT,0.7940302950577
ARNTL,-0.7764334999383901
ASCL1,3.261984134500476
ATF1,-0.21809110824758482
ATF2,-0.39844247871771254
ATF3,-4.17894540045123
ATF4,2.914817602344428
ATF6,1.479130885993729
ATF7,-0.3775379739267596
BACH1,1.37226205872141
BACH2,-0.18809787635919653
BATF,2.717120137888718
BCL11A,1.5656415100662204
BCL6,-3.7272798857637084
BHLHE22,-0.6292284664196779
BHLHE40,-5.438806861230321
CEBPA,1.0101839497140759
CEBPB,1.7872614484970129
CEBPG,-0.6556884017066252
CLOCK,0.19004262708381142
CREB1,3.5723290462799127
CREB3,2.5914469527220567
CREB3L1,2.0607589249456497
CREM,2.242368639514173
CTCF,0.6714992563397307
CTCFL,1.0333010267993017
CUX1,0.7921700460506113
DUX4,-1.247167482204822
E2F1,1.2522539122654925
E2F3,1.1734688194873424
E2F4,2.4361108351666165
E2F5,0.7947108785852637
E2F6,-0.6327922305141468
E2F7,2.2735493599436687
EBF1,0.873418753335173
EGR1,1.9201688823220338
EHF,1.3791569559006982
ELF1,2.236621142714683
ELF3,0.42887317840714845
ELF5,-0.18897519743516455
ELK1,1.3645781366626646
ELK4,1.681312597184749
EOMES,-0.7347309656058624
EPAS1,3.529523586004607
ERG,0.31452649473726657
ESR1,0.4728260660563068
ESR2,1.88412184033829
ESRRA,0.270609678613976
ETS1,3.420488264785887
ETS2,4.429908530202436
ETV1,-0.6951415113483923
ETV4,-1.5302302507604113
FLI1,1.3689572781320722
FOS,2.6154811408550787
FOXA1,-1.584381964383669
FOXJ2,-0.8973447510794104
FOXK2,3.4965515154893416
FOXL2,4.216790401638128
FOXM1,-0.06716447136651033
FOXO1,0.6460192777232179
FOXO3,0.8305534331209551
FOXO4,1.515725442650615
FOXP1,-0.4243739322070246
FOXP2,-2.645806497108398
GABPA,0.1867163240380796
GATA2,-1.457625628837576
GATA3,0.11657890766344546
GATA4,1.8434380010272748
GATA6,1.4442448666925363
GFI1B,0.5201661393137895
GLI2,-0.2470949926262425
GRHL2,1.1145730721050955
HBP1,-2.325573086172646
HIF1A,4.496155602998367
HINFP,1.3886317779172999
HMBOX1,-1.1580744357370292
HNF1B,0.8565674676515898
HNF4A,-0.5504935378038514
HNF4G,1.6358328075262922
HOXA9,0.5671983554933445
HOXB13,-1.3079068609414803
HSF1,0.25922770072705387
IKZF1,0.26828605299407177
IRF1,1.1907619105127034
IRF2,1.8857336025101872
IRF3,-0.23886745245156585
IRF4,2.1079899286361896
IRF9,1.6354887884039238
JUN,2.632169829981426
JUNB,3.1308569841443266
JUND,1.1159480431147397
KDM5B,0.7822904877712419
KLF1,3.3415321374186813
KLF13,1.3006320202974988
KLF3,0.8754206391419054
KLF5,0.4191757796437322
KLF6,3.3469014874550265
KLF9,0.6373070146203161
LEF1,0.4880052133624056
LHX2,-0.7633189619981909
LYL1,0.04105715122821713
MAF,1.5625843257889367
MAFB,1.5421080795362079
MAFF,2.0183696794857475
MAFG,1.0356153454254091
MAFK,0.3105470619645282
MAX,3.0763161996586788
MAZ,1.1146628712623288
MBD1,0.44035101895522294
MBD2,0.08003115767980824
MEF2A,1.658085958621626
MEF2B,1.2377841601154405
MEF2C,-0.6105832295168119
MEIS1,-1.608142144212345
MEIS2,-1.8160348972108207
MITF,3.4752140164986063
MNT,-2.9064325013462766
