ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
NR4A1,3.376519629558535,10.49469212818657,7.705656246636396,5.2282999311645195e-9,4.425755891730766e-5,10.389789658427988
FNIP2,2.3304403392672857,6.289258663204273,7.2435173630419545,2.0001560375286032e-8,6.674575293073708e-5,9.165625041858215
KLF10,2.3481664116872167,8.505779493573602,7.088294691052054,3.153963517105119e-8,6.674575293073708e-5,8.74860226496226
PRKAG2,3.899380661914684,7.263540946280873,7.273076010438244,3.141353142661826e-8,6.674575293073708e-5,8.50639361227178
EGR1,5.351418699375173,8.787865187055846,6.919375821057594,5.1901829188879466e-8,8.46624103707227e-5,8.291716023248007
ZFP36,3.5413079187994674,6.551150930089854,6.8703130237722565,6.000879648249689e-8,8.46624103707227e-5,8.158442845090137
CCL2,3.0355979648173848,5.150121830683661,6.908921026527889,1.2293749382197054e-7,1.2540869835492353e-4,7.4851715261662335
SDC4,2.007043835028467,7.5260128213642545,6.601972901256051,1.3317504796889522e-7,1.2540869835492353e-4,7.425329475687798
BHLHE40,2.353151562599673,8.53286509191892,6.6015709409274494,1.3333470587056253e-7,1.2540869835492353e-4,7.424226282778861
SCML1,1.4258834038336534,5.488756783786385,6.495084739484732,1.832146023794986e-7,1.5509116091424557e-4,7.131482025180274
THBS1,3.2723386175262386,6.0615415759209395,6.247094119506132,4.3524550047276865e-7,3.349411965001806e-4,6.339176373134453
PDK4,3.3158822402333668,9.640468342887832,6.056867765151027,6.822513864570312e-7,4.8127149886323075e-4,5.91787569874066
GABARAPL1,1.7930774177390374,6.95194222528593,5.962806470243413,9.057214670388465e-7,5.246474083062863e-4,5.655885499580059
PPRC1,2.01886181499155,6.950708723758859,5.956948297752705,9.218547651048622e-7,5.246474083062863e-4,5.639555152955953
VEGFA,1.7154942285144212,8.22987485679516,5.950789539854427,9.391269057424763e-7,5.246474083062863e-4,5.622385288861937
SLC19A2,2.0278477970974684,7.905072722507749,5.9327349000107095,9.916548768931579e-7,5.246474083062863e-4,5.57204188952077
CSRNP1,2.327917034372927,5.629600768825902,5.953102166030765,1.1646121088772e-6,5.799083236262058e-4,5.383163729236067
NABP1,2.151638907249274,5.297940144641507,5.839290943808044,1.3144809686606752e-6,6.181711888729231e-4,5.311279837317784
ICAM1,2.13780728833112,5.091697928837903,5.880783929136101,1.438905968647589e-6,6.410704749790443e-4,5.223117609618921
FOSL2,1.955518761928313,6.426879944053563,5.782988390792822,1.5579082621236258e-6,6.593846719438246e-4,5.154018968455789
ETS2,1.617856315482598,5.274032926186632,5.67143090605457,2.181773483121275e-6,8.794625016486472e-4,4.842175141725672
MBP,1.2234021645408548,7.022004167287421,5.586536689346798,2.819367029061997e-6,0.0010376496478699915,4.604709365064975
PIM1,1.7368115570001867,5.419296911401973,5.619907089883174,2.801394723074663e-6,0.0010376496478699915,4.604485264318868
KDM6B,2.0684219898557545,6.200026646897539,5.409373410903143,4.813857307982846e-6,0.0016978875880031164,4.109000890860905
NR1D1,-1.8568618792055336,6.700619728358663,-5.332917547494911,6.06334504622272e-6,0.002053048632651013,3.895127043250689
NUFIP2,1.0276174768497963,7.096402090925841,5.319591105466226,6.312123328261113e-6,0.0020550816912973204,3.8578573096501163
GADD45B,3.759341078018829,6.114843430618708,5.300454720191832,7.253063412047952e-6,0.002273969695666145,3.728900699177732
PCNT,1.2514727754761719,8.563717802220198,5.252014294319086,7.739255887910206e-6,0.0023397428961128533,3.668924204555248
BTG2,2.955499354867917,7.985199143304347,5.180665667146059,9.596179783590856e-6,0.002801091788555055,3.469578835781949
CSF1,1.7323700556102262,5.106907998515144,5.088880708542939,1.265099835370623e-5,0.0035696900354707747,3.213404880896306
IL6R,1.4648162025934406,5.544854126723415,4.976018738354472,1.7761137943570298e-5,0.004843416019566213,2.8989524465172742
BCL3,2.241491480469126,4.920836356217913,5.040025759583094,1.8309428544136894e-5,0.004843416019566213,2.8540532137706833
ATF3,3.0751205909423227,6.552353051792038,4.8894771529417635,2.302672803020918e-5,0.005906704629567294,2.658350635286075
MIDN,2.0464002411780617,6.278991400761161,4.847043646936272,2.6148113894453264e-5,0.006510111297545496,2.5405712531794347
RIOK1,1.2276945066273148,4.990078431964782,4.824448311456618,2.797784101084558e-5,0.00676664069019451,2.477912260586452
TET1,-1.2650961048483245,5.054506432343065,-4.777638613226984,3.218182375697747e-5,0.00756719828063373,2.348239384816594
FOS,4.16256157504933,7.8461322728356775,4.796112321947465,3.458274599585747e-5,0.007781607105498773,2.2937551382365147
JMJD1C,1.214536019460616,7.4526747947754135,4.750188554423671,3.493219964665722e-5,0.007781607105498773,2.272286143512142
RHOBTB2,1.2827832781191608,4.705783221325287,4.739280421268571,3.608867035337092e-5,0.007833092167725252,2.2421229509675253
GADD45A,1.647603400399718,4.758572575225544,4.82631966625863,3.933373308794325e-5,0.008181273625746825,2.2015698280387976
MT2A,1.7514377879789809,5.843786774364602,4.707945747661016,3.96257789315558e-5,0.008181273625746825,2.1555391886332096
MAST4,1.4846900885707965,6.78869212537923,4.6655801776326005,4.495898226603406e-5,0.009061375830523292,2.0386299080291685
SAT1,1.5114288364816177,6.872628168888225,4.637499445334205,4.887903283348436e-5,0.009622349138033608,1.9612433463826235
CPEB4,1.0060024928400173,7.8177011837816135,4.621720766030605,5.1228059740584175e-5,0.009855580129637387,1.9177971285139925
TRPM7,1.1320806489555384,6.369722467546049,4.577076539579697,5.84957536705432e-5,0.011003701218247737,1.795023014990928
OSGIN1,1.8710494002604374,5.630735814305524,4.558566143285756,6.179959162869215e-5,0.01124539747618944,1.744186950260051
CCNL1,1.3819442754619091,6.80539558801341,4.5551047814622745,6.243752881050249e-5,0.01124539747618944,1.7346854241344696
NOP58,1.0235243563990402,6.439688937602481,4.52771879035286,6.771933327356972e-5,0.011942586586682659,1.6595622859823642
MET,1.1945346396475225,6.72350059527441,4.491460192895935,7.539573233627996e-5,0.012835728084335469,1.560246927906694
TMEM140,1.4507034398819565,5.4149532973266545,4.489579653696708,7.58164683067659e-5,0.012835728084335469,1.5551006486809795
ARRDC1,-0.9416997890721355,4.239473378329065,-4.523603427807743,8.094721843893493e-5,0.01343565106050165,1.5231173238904434
ZFP36L1,1.0261295844644343,8.27513451555365,4.442347856753797,8.717684720814615e-5,0.014058290023509265,1.4260028033192071
ZBTB43,0.9824402757203332,7.157333234325426,4.439088252877468,8.802000841653764e-5,0.014058290023509265,1.4171047288167271
WNT9A,1.3270057717034929,4.669553340194361,4.49116661835083,9.426126326116335e-5,0.014776325805661997,1.3888056743558872
ANGPTL4,2.6359309240967663,5.228135499150663,4.524997986045961,1.1278991377027293e-4,0.016531673736525792,1.2546516923057407
ZBTB40,-1.369979766806428,5.605312690399262,-4.373490466475478,1.068013893425801e-4,0.016437704741544375,1.2383614723114285
C2orf69,1.1654760923204517,4.317388005871184,4.42601323360114,1.1327077102403969e-4,0.016531673736525792,1.2222044803914764
PPARD,1.0671631376274293,6.165437058172017,4.360737044402675,1.1088623211586334e-4,0.016531673736525792,1.2036848093228247
SNED1,1.5107025305977535,6.137620638982086,4.347300593895494,1.1535611287849217e-4,0.016550669415532817,1.1671780688673001
SLC39A14,1.4386313524911518,4.583993046287132,4.396155667033182,1.2320454241541095e-4,0.017080484766563767,1.142455056847857
SOAT1,1.1124930811265363,4.486834334758384,4.393016540478383,1.2429769710538402e-4,0.017080484766563767,1.1343305272920858
STOM,0.9140155718812704,6.694233731807522,4.319696820196201,1.251021920291735e-4,0.017080484766563767,1.0922677279045114
MYL6,-0.98525558537915,5.457609337167696,-4.283230762254476,1.3922700574657074e-4,0.018707247676900338,0.9934957264173914
JUNB,3.061523343266321,5.819368390168472,4.242774676363716,1.6381537209331405e-4,0.02166714257452974,0.8598185270466718
SLC36A1,0.9528103327206701,4.616025688871993,4.260569266454696,1.712378371350299e-4,0.022300435251508124,0.8227507279935002
TXLNA,1.4532750959601,5.694856834302687,4.198198153027929,1.7852959083971642e-4,0.02281417747316369,0.764054811558835
KLF6,1.413991590414751,6.819879118036071,4.194296749206753,1.8057293451883842e-4,0.02281417747316369,0.7535585552180208
TNFRSF12A,1.9615836720555277,6.628646945210658,4.171122228882483,1.931916327719099e-4,0.024049517226679668,0.691268070730743
RUNX1,1.8850535598774005,5.270024526415771,4.134773404664433,2.2374113931149426e-4,0.02744882238075071,0.5737846089202074
SLC25A25,1.6158084319940214,6.293049666096337,4.126141663778812,2.2936750532492818e-4,0.027737084751078816,0.5510114665309791
SH3D19,-0.9970731906153381,5.891601624222511,-4.081525741538348,2.5062584246729653e-4,0.02965353545135281,0.4514088085904442
LRIG3,-1.0111404530778083,4.160060613581303,-4.100877443843727,2.572185527318307e-4,0.02965353545135281,0.44022765587961743
CEMIP2,1.5295924962586014,5.121192252138336,4.0704253291211785,0.00025881351650630956,0.02965353545135281,0.42180293724064377
AFF4,0.8400761671525725,6.906558164615143,4.069052492868049,2.5984412225253943e-4,0.02965353545135281,0.41814320666358196
KIAA0040,1.5561396205862073,5.402341294333933,4.0652355647998135,2.627306744065518e-4,0.02965353545135281,0.4079700156457067
TRIM68,-0.9061044549976085,4.206848030734386,-4.080703996996946,2.723930803078984e-4,0.02999518871787176,0.40466765694919093
PDE7A,0.9699925738168558,7.930983647295389,4.052177897505357,2.7284459908755176e-4,0.02999518871787176,0.3731904820632952
PYGO1,1.2753292926051687,7.258258399592651,4.046204458742359,2.7759731771934755e-4,0.030126426852490732,0.3572918917093659
LCOR,-0.944758482258683,6.226968267444494,-4.01649333887477,3.024649153654205e-4,0.03240968998187702,0.2783266109748581
RARA,1.4350569323418423,5.5716576862102585,4.007245885074308,3.1063962437616723e-4,0.0328695552543032,0.2537876820770135
SEH1L,1.1381572220680356,5.208719696219073,3.993323289164792,3.23355543747619e-4,0.03379265034350117,0.21687801625739933
DDX21,1.0473980465907973,6.634185890666415,3.9730864371414243,3.4274886902094617e-4,0.035382550930028164,0.16330517616729257
ADAMTS4,2.6104518166437103,5.79397329735969,4.01582616677207,3.9156553028852546e-4,0.039934966432438164,0.11463318833822811
ABHD2,1.0679710739681791,6.9122494944434765,3.9210750370710277,3.979457987642675e-4,0.04010251412547052,0.026041115544455984
